id_grupo,prioridad,familia,bloque,celdas_incluidas,rango_resumido,cantidad_decisiones_agrupadas,problema_comun,formula_patron_comun,explicacion_simple,riesgo_si_migra_tal_cual,decision_recomendada_por_defecto,opciones_usuario,decision_usuario,comentario_usuario
GRP-001,1,XL 32x70,SB04,W22,W22,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en W22:W22 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-013,1,XL 32x70,SB04,W22,W22,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en W22:W22 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-002,1,XL 32x70,SB04,W23,W23,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en W23:W23 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-014,1,XL 32x70,SB04,W23,W23,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en W23:W23 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-003,1,XL 32x70,SB04,W24,W24,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en W24:W24 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-015,1,XL 32x70,SB04,W24,W24,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en W24:W24 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-004,1,XL 32x70,SB04,W25,W25,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en W25:W25 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-016,1,XL 32x70,SB04,W25,W25,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en W25:W25 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-005,1,XL 32x70,SB04,W26,W26,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en W26:W26 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-017,1,XL 32x70,SB04,W26,W26,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en W26:W26 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-006,1,XL 32x70,SB04,W27,W27,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en W27:W27 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-018,1,XL 32x70,SB04,W27,W27,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en W27:W27 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-007,1,XL 32x70,SB04,X22,X22,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en X22:X22 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
